Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,% %,  %
https://www.tripadvisor.com/Attraction_Review-g304132-d10745202-Reviews-Vessagiriya_Ruins-Anuradhapura_North_Central_Province.html,Vessagiriya Ruins,4.3,40,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/77/92/54/photo9jpg.jpg?w=700&h=400&s=1,Anshuwa,"Colombo, Sri Lanka",Unbelievable site,5,Couples,"My wife and I visited this place without knowing much about this place, although we both have visited Anuradhapura several times. By the first look we didn't understand the importance or at least the size of the place. Luckily we met a guide who gave us a very good explanation of this place. According to him, this place dates back even before era of King ""Devnam Piyatissa"" who supported and sponsored the spread of Buddhism in Sri Lanka. You can see man made caves which leave you confused how they were moved and how they were placed in the way they are now. And this is the only place I saw the unfinished stone work which always made me confused how the workmen in those days have produced buildings and statues with smooth surfaces. However the highlight of the place for me was the frescoes which looked identical to Sigiriya. You can also find a kings chamber too. If you are really interested of the place, I strongly suggest you to talk to a guide because this place is rarely mentioned with Sri Lankan history. The guide we met is Lal Mettasinghe (+94 703663123).","July 20, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d10745202-Reviews-Vessagiriya_Ruins-Anuradhapura_North_Central_Province.html,Vessagiriya Ruins,4.3,40,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/77/92/54/photo9jpg.jpg?w=700&h=400&s=1,Jackie,"London, United Kingdom",Interesting historical site,5,Couples,"We went here with a guide who gave us excellent historical information. Fascinating to understand how old this site is, very calm and peaceful","March 13, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d10745202-Reviews-Vessagiriya_Ruins-Anuradhapura_North_Central_Province.html,Vessagiriya Ruins,4.3,40,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/77/92/54/photo9jpg.jpg?w=700&h=400&s=1,Phil R,"Hamilton, New Zealand",Nice place,4,Missing,Enjoyed seeing the buildings intergrated with the rocks.  Calmbering around the rocks with the kids was fun.,"January 20, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d10745202-Reviews-Vessagiriya_Ruins-Anuradhapura_North_Central_Province.html,Vessagiriya Ruins,4.3,40,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/77/92/54/photo9jpg.jpg?w=700&h=400&s=1,Eva J,"Moscow, Russia",old ruins,4,Solo,"It's free! The rocks can get really slippery when it rains. Look closely at the rocks on top, you can see some of the writing from monks loooooong ago.","January 14, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d10745202-Reviews-Vessagiriya_Ruins-Anuradhapura_North_Central_Province.html,Vessagiriya Ruins,4.3,40,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/77/92/54/photo9jpg.jpg?w=700&h=400&s=1,Kinkini,"Manama, Bahrain",Ancient Buddhist forest monastery,5,Couples,One of the most amazing places I’ve seen. There are many many Caves. One of the oldest monasteries of the Anuradhapura kingdom. It is located very close to Isurumuniya. It was home to about five hundred monks.,"January 2, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d10745202-Reviews-Vessagiriya_Ruins-Anuradhapura_North_Central_Province.html,Vessagiriya Ruins,4.3,40,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/77/92/54/photo9jpg.jpg?w=700&h=400&s=1,SEs,"London, United Kingdom",Rocks,4,Friends,This old Buddhist monks abode is surrounded by rocks. The ruins are good to spend about an hour here.,"November 3, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d10745202-Reviews-Vessagiriya_Ruins-Anuradhapura_North_Central_Province.html,Vessagiriya Ruins,4.3,40,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/77/92/54/photo9jpg.jpg?w=700&h=400&s=1,shihanlegend,"Ratnapura, Sri Lanka",Ancient meditation site,4,Missing,"This is a ancient meditation site. thousands of enlightened monks have lived here,therefore it's a sacred area.you can see relics.","April 8, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d10745202-Reviews-Vessagiriya_Ruins-Anuradhapura_North_Central_Province.html,Vessagiriya Ruins,4.3,40,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/77/92/54/photo9jpg.jpg?w=700&h=400&s=1,Bishan W,"Colombo, Sri Lanka",Out of this World.,5,Friends,"One of the most amazing places I’ve seen. I’m ashamed of my self that o did not visit here sooner. The ruins and caves date back a Millennia. The medication postures can clearly be identified by the marks it has on the stones. There are so many caves try to visit them all. I learnt that many people only visit the main cave, but I encourage travers to see all the caves. Walk around the park and you won’t miss them. The place is known to be utilised by Atahats for meditation. If you are lucky you will be accompanied by 2 very friendly dogs, pls say hi to them.","March 29, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d10745202-Reviews-Vessagiriya_Ruins-Anuradhapura_North_Central_Province.html,Vessagiriya Ruins,4.3,40,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/77/92/54/photo9jpg.jpg?w=700&h=400&s=1,tednakhle,"Brighton and Hove, United Kingdom",interesting historical site,4,Couples,you need an explanation to appreciate the significance of this site which is interesting both geologically and historically,"March 15, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d10745202-Reviews-Vessagiriya_Ruins-Anuradhapura_North_Central_Province.html,Vessagiriya Ruins,4.3,40,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/77/92/54/photo9jpg.jpg?w=700&h=400&s=1,Fortheloveoffrog,"London, United Kingdom",Worth it if spiritual,5,Friends,"We had an amazing spiritual guide who gave us a bit of an energy charge and history lesson from him. He also did some form of palmistry and advice which was unexpected. We met his spiritual guide which was a little treat but didn’t wish to disturb his contemplation. I have reservations recommending this place for the average tourist, but I loved it. I wish I had brought food for all the stray dogs so if you read this- flea vaccines and left over food would be appreciated by furry friends.","December 20, 2017",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d10745202-Reviews-Vessagiriya_Ruins-Anuradhapura_North_Central_Province.html,Vessagiriya Ruins,4.3,40,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/77/92/54/photo9jpg.jpg?w=700&h=400&s=1,Roshan Nilupul,"Colombo, Sri Lanka",,4,Solo,This is a historical place where 500 monks lived during Anuradhapura kingdom. can see many caves with'katarama'. Some of them created with basic facilities to sleep and covered for safety.,"September 9, 2017",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d10745202-Reviews-Vessagiriya_Ruins-Anuradhapura_North_Central_Province.html,Vessagiriya Ruins,4.3,40,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/77/92/54/photo9jpg.jpg?w=700&h=400&s=1,traveller_prk,"Bengaluru, India",,5,Solo,This was the first spot we  stopped as we entered the complex. It contains some rocks which the guide mentioned was used by monks for shelter and at the entrance are the ruins which may have been a building.,"July 3, 2017",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d10745202-Reviews-Vessagiriya_Ruins-Anuradhapura_North_Central_Province.html,Vessagiriya Ruins,4.3,40,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/77/92/54/photo9jpg.jpg?w=700&h=400&s=1,Sunimal R,"Invercargill, New Zealand",,5,Friends,"One of the oldest monasteries of the Anuradhapura kingdom... According to the history, 500 monks belonged to the Vaishyawa caste dwelt on the place and named accordingly as Vessagiriya..","June 6, 2017",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d10745202-Reviews-Vessagiriya_Ruins-Anuradhapura_North_Central_Province.html,Vessagiriya Ruins,4.3,40,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/77/92/54/photo9jpg.jpg?w=700&h=400&s=1,SunSriLankaHolidays,"Kandy, Sri Lanka",,4,Couples,This place is a perfect place for couple if you wanna hangout without disturbances of people. But it is advised to go inside caves if you could bear up the urine smell of bats. Climb the rock and you'll get a splendid view on the top.,"May 24, 2017",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d10745202-Reviews-Vessagiriya_Ruins-Anuradhapura_North_Central_Province.html,Vessagiriya Ruins,4.3,40,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/77/92/54/photo9jpg.jpg?w=700&h=400&s=1,Chathurika R,12 contributions,,5,Friends,Can't believe this place being so calm and quiet in the city and just close by..😍😍 May be thats the reason why monks used to be here at those days. Even in hot sunny  weather the shade of rocks give a shady coool feeling. Outside it appears small. But while walking you explore the sitr by yourself. I saw some visiting the place in few minutes. But it worth taking few hours. The most important thing is that it's calm and quiet with less people.🤗,"February 17, 2017",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d10745202-Reviews-Vessagiriya_Ruins-Anuradhapura_North_Central_Province.html,Vessagiriya Ruins,4.3,40,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/77/92/54/photo9jpg.jpg?w=700&h=400&s=1,Sparkmel,"Melbourne, Australia",,5,Missing,Good to go with a guide otherwise would be hard to tell what you are looking at.  Amazing ancient ruins from over 2000 years ago.  A must see when in this city.,"January 22, 2017",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d10745202-Reviews-Vessagiriya_Ruins-Anuradhapura_North_Central_Province.html,Vessagiriya Ruins,4.3,40,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/77/92/54/photo9jpg.jpg?w=700&h=400&s=1,Helia_linne,"Bratislava, Slovakia",,4,Couples,We were here through the local lecture/mass and felt a buddhist energy of  ancient monks lives. They lived in poverty without any money around and under these rocks where they prayed for their religion.,"December 28, 2016",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d10745202-Reviews-Vessagiriya_Ruins-Anuradhapura_North_Central_Province.html,Vessagiriya Ruins,4.3,40,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/77/92/54/photo9jpg.jpg?w=700&h=400&s=1,Traveler o,"Wuppertal, Germany",,5,Friends,"The place is not so frequently visited like other sights in Anuradhapura, but it is worth seeing it. Under impressive stones are some remainings from its former residents. The monks lived here and meditated centuries ago. There are some paintings in the stones and you can see the stone-seats which they used for meditation. It is amazing how basiclly they lived compared to today.","December 4, 2016",0.0,0.0
