Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,Family %,Couples %,Solo %,Business %,Friends %,Missing %
https://www.tripadvisor.com/Attraction_Review-g2467802-d4174568-Reviews-Girihadu_Seya-Eastern_Province.html,Girihadu Seya,4.6,36,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/6b/5d/3d/girihadu-seya.jpg?w=700&h=400&s=1,SGBPtiLu,"Nantes, France",One of the oldest Buddhist temples in Sri Lanka,5,Missing,This temple very little visited by tourists (we were the only ones) is one of the oldest in Sri Lanka. In the stuppa would rest a Buddha relic: a lock of hair. Believers come to gather there and to access the site you have to climb a certain number of steps. Not easy to access. The place is very interesting and very atypical because you are really with the natives.,"September 11, 2024",0.0,20.0,10.0,0.0,20.0,50.0
https://www.tripadvisor.com/Attraction_Review-g2467802-d4174568-Reviews-Girihadu_Seya-Eastern_Province.html,Girihadu Seya,4.6,36,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/6b/5d/3d/girihadu-seya.jpg?w=700&h=400&s=1,dilan m,Sri Lanka,The first-ever temple built in Sri Lanka,5,Missing,"One of the calm and quiet ancient temples in Sri Lanka, situated in Trincomalee. This temple is considered the first temple ever built in Sri Lanka.","November 24, 2022",0.0,20.0,10.0,0.0,20.0,50.0
https://www.tripadvisor.com/Attraction_Review-g2467802-d4174568-Reviews-Girihadu_Seya-Eastern_Province.html,Girihadu Seya,4.6,36,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/6b/5d/3d/girihadu-seya.jpg?w=700&h=400&s=1,Irene,"Colombo, Sri Lanka",Absolutely beautiful,5,Couples,"Absolutely beautiful and calming place. It is being renovated and that is why you need to give a 500 rupee must donation for 1 person to enter the territory. The are lots of animals peacefully resting around: dogs, monkeys, lizards, insects. You just come to be. The temple itself looks gorgeous and majestic. We have been in the morning, the only visitors and enjoyed the atmosphere very much. Helpful staff at the parking. Worth visiting, but please be respectful and responsible there.","September 4, 2020",0.0,20.0,10.0,0.0,20.0,50.0
https://www.tripadvisor.com/Attraction_Review-g2467802-d4174568-Reviews-Girihadu_Seya-Eastern_Province.html,Girihadu Seya,4.6,36,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/6b/5d/3d/girihadu-seya.jpg?w=700&h=400&s=1,Lahiru Abeywickrama,"Horana, Sri Lanka",World first Buddhist seya,5,Friends,This temple is world first buddhist seya wich situated in trincomalee aria. This seya build in 2600 years ago by Thapassu and Balluka. They are businessman at that time.,"September 10, 2019",0.0,20.0,10.0,0.0,20.0,50.0
https://www.tripadvisor.com/Attraction_Review-g2467802-d4174568-Reviews-Girihadu_Seya-Eastern_Province.html,Girihadu Seya,4.6,36,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/6b/5d/3d/girihadu-seya.jpg?w=700&h=400&s=1,Harshana Piyasinghe,"Kandy, Sri Lanka",Hisory.Nature.Buddhism,5,Solo,One of the most important buddhist temples in the world. Probably the first sthoopa / daageba (ස්ථූප ) in the world is built here. Located in Trincomalee about 47km away from the city (Nilaveli road) It has a beautiful view from the top (where the sthoopa is located). Main road upto Thiriyaya is carpeted and even from there the road is good ans accessible. A place you should include for the next trip in the eastern Sri Lanka.,"September 4, 2019",0.0,20.0,10.0,0.0,20.0,50.0
https://www.tripadvisor.com/Attraction_Review-g2467802-d4174568-Reviews-Girihadu_Seya-Eastern_Province.html,Girihadu Seya,4.6,36,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/6b/5d/3d/girihadu-seya.jpg?w=700&h=400&s=1,Dilash De silva,"Ambalangoda, Sri Lanka",A must for every buddhist,5,Missing,Oldest Buddhist stupa in Sri Lanka . A very beautiful journey to top of the sacred hill where this age old temple is . A must visit place for all Buddhists .,"January 15, 2019",0.0,20.0,10.0,0.0,20.0,50.0
https://www.tripadvisor.com/Attraction_Review-g2467802-d4174568-Reviews-Girihadu_Seya-Eastern_Province.html,Girihadu Seya,4.6,36,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/6b/5d/3d/girihadu-seya.jpg?w=700&h=400&s=1,Chathra V,"Moratuwa, Sri Lanka",Oldest Buddhist Temple in the World!,4,Couples,"Girihandu Seya is an ancient Buddhist temple located in Thiriyai, around 47km north of Trincomalee. This temple is believed to be the oldest Buddhist temple in the World, said to contain hair relics of Lord Buddha. Commissioned by Thapassu & Bhallika as per the stone inscriptions found on site. It is a beautiful monument in a great location, however people visiting this site has added modern tables, flags & carpets etc which has disrupted it’s originality and the archeological value.","October 12, 2018",0.0,20.0,10.0,0.0,20.0,50.0
https://www.tripadvisor.com/Attraction_Review-g2467802-d4174568-Reviews-Girihadu_Seya-Eastern_Province.html,Girihadu Seya,4.6,36,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/6b/5d/3d/girihadu-seya.jpg?w=700&h=400&s=1,AchuthanPalat,"Chennai (Madras), India",Serene and Sacred,5,Missing,"IT is about 45 minutes drive from Trincomalee and is probably the oldest stupa / dagoba in the World. It is only a 200 foot climb, the steps are very easy to climb. The place has a sacred feel to it,  the stupa has been undisturbed for thousands of years  unlike in most other places.","January 31, 2018",0.0,20.0,10.0,0.0,20.0,50.0
https://www.tripadvisor.com/Attraction_Review-g2467802-d4174568-Reviews-Girihadu_Seya-Eastern_Province.html,Girihadu Seya,4.6,36,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/6b/5d/3d/girihadu-seya.jpg?w=700&h=400&s=1,Malith De Silva,"Moratuwa, Sri Lanka",World's first Stupa !!!,5,Friends,Famous among locals as the worlds first Stupa which built in the era of buddha by thapasshu n.balhuka traders. Located approx 50km away from trinco town. Seems well above than dhambulla rock cave temple and steps available to climb. Nice sorroundings and stunning views from the rock. ruins of ancient kindgom too can be seen in top of the rock..,"November 19, 2017",0.0,20.0,10.0,0.0,20.0,50.0
https://www.tripadvisor.com/Attraction_Review-g2467802-d4174568-Reviews-Girihadu_Seya-Eastern_Province.html,Girihadu Seya,4.6,36,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/6b/5d/3d/girihadu-seya.jpg?w=700&h=400&s=1,ausseertraveller,206 contributions,Tranquil,5,Couples,"The best place that we've been visiting in Sri Lanka! It's just so calm an peaceful. There are not a lot of people there. We only met a couple of monks. We really enjoyed it. It was very humid tough as we were walking upstairs. It is a little bit difficult to find, as you have to drive inland from the main road next to the sea and the sign is not really existent ;) But there was a bus stop. just follow that road and turn right next to the police station. Oh and they charge a little fee....","October 30, 2017",0.0,20.0,10.0,0.0,20.0,50.0
